paradigm,window,subject,fold,model,method,label_source,sample_idx,class_idx,runtime_seconds,hardware,score_type,n_samples_timed,partition_id,n_partitions,method_params
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,38,1,0.08921546099986699,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,GradCAM++,y_test,39,1,0.09370927800000572,NVIDIA T4 GPU,logits,20,,,{'layer_name': None}
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,0,0,1.5910255349999716,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,1,0,0.9675412990000041,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,3,0,1.145587573000057,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,7,1,1.4327031530001477,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,9,0,1.4759158960000605,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,11,0,1.1671659420001106,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,12,0,1.0229226020001079,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,14,1,1.0231296459999157,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
MI,2.5-5,43,1,tgarnet,STF-KernelSHAP,y_test,17,0,1.0295047430001887,NVIDIA T4 GPU,logits,20,,,"{'fs': 128, 'time_segments_sec': None, 'freq_bands_hz': [(4.0, 8.0), (8.0, 13.0), (13.0, 30.0), (30.0, 40.0)], 'nfft': 512, 'nsamples': 500, 'l1_reg': 'num_features(200)', 'baseline_tf': None, 'predict_batch_size': 512, 'random_state': 42, 'silent': True}"
